StoredCropID,PlantedCropID,StorageBinID
76411166-C5A6-440D-B16B-CCDC1A926841,F0B8092D-043F-47D9-8971-69B44F8B246E,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
2E176610-EBA5-4C10-AF3C-6ADC90061A0E,009591A3-91E9-409A-A6CE-4E74D0602713,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
73CFC28E-70CF-42C9-8807-A7C8ABBB6254,F19C02E0-DE09-473A-A2EE-198BED7C463C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
34A828FE-8F1A-4FF7-9DD4-A58216D652B7,DDDAD8DE-93F9-4A78-8FF6-71B9953F4D94,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
9DA03443-98E7-45FE-BD94-B9AC68C63331,0C678F12-886C-4A22-BC8D-6A4BDBFBE477,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
ABEFA1F9-7234-43E4-8859-7E17BD906ADA,4991C323-85FB-462C-AFEE-ED0438578C34,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
8F64D166-CC08-437A-AC1A-8DAA25B312D3,27D64F8B-B02C-4CF7-B75F-A29EDEA44C67,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
0F2E24AA-2076-4A74-B45B-B4A247734A78,0EAEA8B2-EC95-484B-9379-FAE45ED32709,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
EEA2DB92-BCDE-4A21-82BF-1D25CDB20E4F,88397F06-7E9D-47AA-8B9B-49D544111146,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
FA946E9F-42EF-48B4-B2B4-0E9C6DCF7236,062FE063-67A3-4852-9572-B7247AE660A1,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
5C69B5F1-EA17-4DE6-979F-E11034E4F966,0BBFEEA3-F2A9-47F9-88EF-FEE79FAFCD0F,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
37FDAB4B-65A1-4E96-AAC1-ECAA0D68B615,5CB85B80-3CDA-44E3-8F05-E060749789A1,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
D15E8CB1-C00D-452C-BAA3-B693F70E184F,B06C6A89-EE20-4CA2-93DF-954FA1B3D142,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
B7DFAB6B-A353-4E1F-8D12-1C9D77CAD991,90322361-F862-4450-B2B6-8E295EC82E2B,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
29F711D1-0AA9-44F3-9917-73C14F4A622E,E8F939E6-6CF7-44A6-9053-E81515FFDE3B,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
AAFC2C70-DE72-4D9F-A330-297FCA7C22F5,7C982FCC-CAAE-425F-BB43-54E7D2D38910,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
37F4DBF4-79BE-4C50-A886-1B2A5FD33F6D,84FF5E3F-AC54-43A1-BEBD-1C336A9AA3B6,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
7A5204DE-8BA8-40DE-9D83-7C9116D183D2,7D153141-15E8-4A70-9E5D-51DB2C8DA698,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
FDF40611-B0AE-4DF1-BCC9-24465BD036B4,7247310C-F7FA-4E2E-B868-6520C520CF11,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
D0E8FC0F-EF42-41A7-9EC0-738E99B35B70,D7954F7B-8A86-4653-9D04-A88B3CD31579,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
63D7D5F3-53F0-449D-9B29-330BC9C1FF23,556EE5A7-B11A-44BB-92E5-27C7CB892BBF,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
96EDC98E-9D6D-4297-8B57-5B7623A9CB39,255B5465-1DD4-4713-A3F8-D5324FFFD19D,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
835FC7F6-EB2E-46B2-B853-A64A4650E635,80B6D74F-0A0B-41EF-96B4-580A4056435E,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
56267974-B0A0-4717-9D83-200C8F14DE66,ADF2899B-141E-47E6-A407-24821F9A5268,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
CA8F1DE1-50B2-4A85-AB09-EE36308BB1FB,03347935-8F03-4E01-9006-3111CB1D9676,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1
